,ticker,name,sector,sub-industry,price,pe,roa
388,PHM,PulteGroup,Consumer Discretionary,Homebuilding,41.90999984741211,6.48,11.72
389,PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",75.29000091552734,10.76,3.78
390,QRVO,Qorvo,Information Technology,Semiconductors,111.69000244140625,11.57,10.44
391,PWR,Quanta,Industrials,Construction & Engineering,120.54000091552734,31.65,4.47
392,QCOM,Qualcomm,Information Technology,Semiconductors,132.80999755859375,16.88,17.32
393,DGX,Quest Diagnostics,Health Care,Health Care Services,137.19000244140625,8.25,12.33
394,RL,Ralph Lauren,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",109.25,20.21,6.23
395,RJF,Raymond James,Financials,Investment Banking & Brokerage,103.5199966430664,15.61,2.57
396,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,100.48999786376953,45.68,2.51
397,O,Realty Income,Real Estate,Retail REITs,73.54000091552734,58.0,1.87
398,REG,Regency Centers,Real Estate,Retail REITs,70.44000244140625,36.31,2.5
399,REGN,Regeneron,Health Care,Biotechnology,688.0800170898438,11.0,26.25
400,RF,Regions,Financials,Regional Banks,21.3700008392334,8.01,1.62
401,RSG,Republic Services,Industrials,Environmental & Facilities Services,132.39999389648438,34.93,5.46
402,RMD,ResMed,Health Care,Health Care Equipment,227.41000366210938,66.65,12.87
403,RHI,Robert Half,Industrials,Human Resource & Employment Services,112.44000244140625,24.04,14.39
404,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,260.5299987792969,22.5,7.89
405,ROL,Rollins,Industrials,Environmental & Facilities Services,33.58000183105469,47.5,14.72
406,ROP,Roper,Industrials,Industrial Conglomerates,454.0799865722656,43.09,4.14
407,ROST,Ross,Consumer Discretionary,Apparel Retail,103.45999908447266,23.17,11.72
408,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",81.72000122070312,,-6.98
409,SPGI,S&P Global,Financials,Financial Exchanges & Data,379.6600036621094,32.73,20.55
410,CRM,Salesforce,Information Technology,Application Software,171.42999267578125,94.3,0.83
411,SBAC,SBA Communications,Real Estate,Specialized REITs,366.3599853515625,140.58,5.2
412,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,41.650001525878906,35.78,4.12
413,STX,Seagate,Information Technology,"Technology Hardware, Storage & Peripherals",82.41999816894531,12.13,14.06
414,SEE,Sealed Air,Materials,Paper Packaging,65.37000274658203,21.52,8.87
415,SRE,Sempra Energy,Utilities,Multi-Utilities,168.24000549316406,48.26,2.32
416,NOW,ServiceNow,Information Technology,Systems Software,471.3999938964844,432.08,1.74
417,SHW,Sherwin-Williams,Materials,Specialty Chemicals,244.9199981689453,33.56,8.6
418,SBNY,Signature Bank,Financials,Regional Banks,259.489990234375,18.6,0.95
419,SPG,Simon,Real Estate,Retail REITs,125.87999725341797,20.38,4.35
420,SWKS,Skyworks,Information Technology,Semiconductors,115.0999984741211,12.83,15.17
421,SJM,Smucker,Consumer Staples,Packaged Foods & Meats,142.24000549316406,20.3,4.31
422,SNA,Snap-on,Industrials,Industrial Machinery,222.3800048828125,15.18,10.69
423,SEDG,SolarEdge,Information Technology,Semiconductor Equipment,251.5800018310547,94.37,4.64
424,SO,Southern Company,Utilities,Electric Utilities,75.91000366210938,27.1,2.04
425,LUV,Southwest Airlines,Industrials,Airlines,46.849998474121094,,-4.41
426,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,141.49000549316406,12.81,6.88
427,SBUX,Starbucks,Consumer Discretionary,Restaurants,77.91999816894531,,10.48
428,STT,State Street,Financials,Asset Management & Custody Banks,70.87000274658203,10.44,0.86
429,STE,Steris,Health Care,Health Care Equipment,233.4499969482422,84.89,4.72
430,SYK,Stryker,Health Care,Health Care Equipment,248.30999755859375,49.98,6.89
431,SIVB,SVB Financial,Financials,Regional Banks,541.0399780273438,16.6,1.27
432,SYF,Synchrony,Financials,Consumer Finance,37.97999954223633,5.37,4.4
433,SNPS,Synopsys,Information Technology,Application Software,285.0,59.25,7.23
434,SYY,Sysco,Consumer Staples,Food Distributors,88.80000305175781,66.67,5.84
435,TMUS,T-Mobile,Communication Services,Wireless Telecommunication Services,128.6300048828125,48.36,3.07
436,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,134.25,10.12,20.19
437,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,136.41000366210938,28.21,7.37
438,TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",32.959999084472656,11.28,9.63
439,TGT,Target,Consumer Discretionary,General Merchandise Stores,241.67999267578125,17.79,10.2
440,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,122.87999725341797,18.1,8.37
441,TDY,Teledyne,Industrials,Aerospace & Defense,467.8800048828125,47.08,4.97
442,TFX,Teleflex,Health Care,Health Care Equipment,321.1099853515625,35.12,5.08
443,TER,Teradyne,Information Technology,Semiconductor Equipment,109.19999694824219,20.57,20.04
444,TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,1005.0499877929688,328.23,5.54
445,TXN,Texas Instruments,Information Technology,Semiconductors,173.30999755859375,22.25,25.62
446,TXT,Textron,Industrials,Aerospace & Defense,67.88999938964844,19.97,3.52
447,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,561.280029296875,26.05,7.8
448,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,62.709999084472656,28.94,7.8
